"	date",id_station,id_parameter,value,unit
01/01/2019,ACO,PM10,106,2
01/01/2019,AJU,PM2.5,15,2
01/01/2019,ATI,PM10,70,2
01/01/2019,CAM,PM10,91,2
01/01/2019,CAM,PM2.5,68,2
01/01/2019,MON,PM2.5,60,2
01/01/2019,CHO,PM10,110,2
01/01/2019,CUA,PM10,70,2
01/01/2019,CUT,PM10,109,2
01/01/2019,FAC,PM10,65,2
01/01/2019,HGM,PM10,77,2
01/01/2019,HGM,PM2.5,60,2
01/01/2019,IZT,PM10,114,2
01/01/2019,MER,PM10,112,2
01/01/2019,MER,PM2.5,77,2
01/01/2019,NEZ,PM2.5,133,2
01/01/2019,SAG,PM10,123,2
01/01/2019,SAG,PM2.5,80,2
01/01/2019,SFE,PM10,48,2
01/01/2019,SFE,PM2.5,34,2
01/01/2019,TAH,PM10,87,2
01/01/2019,TLA,PM10,68,2
01/01/2019,TLA,PM2.5,47,2
01/01/2019,UAX,PM2.5,86,2
01/01/2019,UIZ,PM10,106,2
01/01/2019,UIZ,PM2.5,83,2
01/01/2019,VIF,PM10,226,2
01/01/2019,XAL,PM10,150,2
01/01/2019,XAL,PM2.5,99,2
01/01/2019,CCA,PM2.5,49,2
01/01/2019,MGH,PM10,85,2
01/01/2019,MGH,PM2.5,71,2
01/01/2019,AJM,PM10,36,2
01/01/2019,AJM,PM2.5,25,2
01/01/2019,BJU,PM10,84,2
01/01/2019,BJU,PM2.5,67,2
01/01/2019,INN,PM10,21,2
01/01/2019,INN,PM2.5,12,2
02/01/2019,ACO,PM10,63,2
02/01/2019,AJU,PM2.5,9,2
02/01/2019,ATI,PM10,58,2
02/01/2019,CAM,PM10,79,2
02/01/2019,CAM,PM2.5,47,2
02/01/2019,MON,PM2.5,23,2
02/01/2019,CHO,PM10,57,2
02/01/2019,CUA,PM10,37,2
02/01/2019,CUT,PM10,72,2
02/01/2019,FAC,PM10,58,2
02/01/2019,HGM,PM10,65,2
02/01/2019,HGM,PM2.5,37,2
02/01/2019,IZT,PM10,83,2
02/01/2019,MER,PM10,91,2
02/01/2019,MER,PM2.5,47,2
02/01/2019,NEZ,PM2.5,43,2
02/01/2019,SAG,PM10,93,2
02/01/2019,SAG,PM2.5,46,2
02/01/2019,SFE,PM10,46,2
02/01/2019,SFE,PM2.5,27,2
02/01/2019,TLA,PM10,66,2
02/01/2019,TLA,PM2.5,36,2
02/01/2019,UAX,PM2.5,34,2
02/01/2019,UIZ,PM10,71,2
02/01/2019,UIZ,PM2.5,40,2
02/01/2019,VIF,PM10,64,2
02/01/2019,XAL,PM10,98,2
02/01/2019,XAL,PM2.5,44,2
02/01/2019,CCA,PM2.5,27,2
02/01/2019,MGH,PM10,55,2
02/01/2019,MGH,PM2.5,38,2
02/01/2019,AJM,PM10,43,2
02/01/2019,AJM,PM2.5,26,2
02/01/2019,BJU,PM10,67,2
02/01/2019,BJU,PM2.5,40,2
02/01/2019,INN,PM10,12,2
02/01/2019,INN,PM2.5,7,2
03/01/2019,ACO,PM10,71,2
03/01/2019,AJU,PM2.5,15,2
03/01/2019,ATI,PM10,64,2
03/01/2019,CAM,PM10,70,2
03/01/2019,CAM,PM2.5,34,2
03/01/2019,MON,PM2.5,22,2
03/01/2019,CHO,PM10,59,2
03/01/2019,CUA,PM10,36,2
03/01/2019,CUT,PM10,89,2
03/01/2019,FAC,PM10,59,2
03/01/2019,HGM,PM10,49,2
03/01/2019,HGM,PM2.5,23,2
03/01/2019,IZT,PM10,57,2
03/01/2019,MER,PM10,74,2
03/01/2019,MER,PM2.5,32,2
03/01/2019,NEZ,PM2.5,27,2
03/01/2019,SAG,PM10,93,2
03/01/2019,SAG,PM2.5,36,2
03/01/2019,SFE,PM10,48,2
03/01/2019,SFE,PM2.5,27,2
03/01/2019,TAH,PM10,57,2
03/01/2019,TLA,PM10,77,2
03/01/2019,TLA,PM2.5,36,2
03/01/2019,UAX,PM2.5,23,2
03/01/2019,UIZ,PM10,56,2
03/01/2019,UIZ,PM2.5,25,2
03/01/2019,VIF,PM10,123,2
03/01/2019,XAL,PM10,123,2
03/01/2019,XAL,PM2.5,47,2
03/01/2019,CCA,PM2.5,21,2
03/01/2019,MGH,PM10,53,2
03/01/2019,MGH,PM2.5,31,2
03/01/2019,AJM,PM10,46,2
03/01/2019,AJM,PM2.5,26,2
03/01/2019,BJU,PM10,53,2
03/01/2019,BJU,PM2.5,27,2
03/01/2019,INN,PM10,19,2
03/01/2019,INN,PM2.5,12,2
03/01/2019,GAM,PM10,67,2
03/01/2019,GAM,PM2.5,32,2
04/01/2019,ACO,PM10,75,2
04/01/2019,AJU,PM2.5,17,2
04/01/2019,ATI,PM10,75,2
04/01/2019,CAM,PM10,83,2
04/01/2019,CAM,PM2.5,45,2
