"	date",id_station,id_parameter,value,unit
01/01/2018,ACO,PM10,54,2
01/01/2018,AJU,PM2.5,45,2
01/01/2018,ATI,PM10,47,2
01/01/2018,CUA,PM10,56,2
01/01/2018,CUT,PM10,81,2
01/01/2018,FAC,PM10,39,2
01/01/2018,HGM,PM10,64,2
01/01/2018,HGM,PM2.5,47,2
01/01/2018,MER,PM10,72,2
01/01/2018,MER,PM2.5,46,2
01/01/2018,NEZ,PM2.5,56,2
01/01/2018,SAG,PM10,63,2
01/01/2018,SAG,PM2.5,38,2
01/01/2018,SFE,PM10,53,2
01/01/2018,SFE,PM2.5,37,2
01/01/2018,TAH,PM10,100,2
01/01/2018,TLA,PM10,63,2
01/01/2018,TLA,PM2.5,42,2
01/01/2018,TLI,PM10,76,2
01/01/2018,UAX,PM2.5,59,2
01/01/2018,VIF,PM10,62,2
01/01/2018,XAL,PM10,68,2
01/01/2018,XAL,PM2.5,39,2
01/01/2018,CCA,PM2.5,51,2
01/01/2018,MGH,PM10,60,2
01/01/2018,MGH,PM2.5,47,2
01/01/2018,AJM,PM10,68,2
01/01/2018,AJM,PM2.5,50,2
01/01/2018,BJU,PM10,61,2
01/01/2018,BJU,PM2.5,44,2
01/01/2018,INN,PM10,50,2
01/01/2018,INN,PM2.5,35,2
01/01/2018,GAM,PM2.5,53,2
02/01/2018,ACO,PM10,55,2
02/01/2018,AJU,PM2.5,22,2
02/01/2018,ATI,PM10,53,2
02/01/2018,CUA,PM10,40,2
02/01/2018,CUT,PM10,74,2
02/01/2018,FAC,PM10,43,2
02/01/2018,HGM,PM10,47,2
02/01/2018,HGM,PM2.5,27,2
02/01/2018,MER,PM10,47,2
02/01/2018,MER,PM2.5,21,2
02/01/2018,NEZ,PM2.5,31,2
02/01/2018,SAG,PM10,74,2
02/01/2018,SAG,PM2.5,29,2
02/01/2018,SFE,PM10,47,2
02/01/2018,SFE,PM2.5,30,2
02/01/2018,TAH,PM10,50,2
02/01/2018,TLA,PM10,56,2
02/01/2018,TLA,PM2.5,27,2
02/01/2018,TLI,PM10,75,2
02/01/2018,UAX,PM2.5,26,2
02/01/2018,VIF,PM10,63,2
02/01/2018,XAL,PM10,78,2
02/01/2018,XAL,PM2.5,28,2
02/01/2018,CCA,PM2.5,25,2
02/01/2018,MGH,PM10,46,2
02/01/2018,MGH,PM2.5,29,2
02/01/2018,AJM,PM10,41,2
02/01/2018,AJM,PM2.5,25,2
02/01/2018,BJU,PM10,48,2
02/01/2018,BJU,PM2.5,27,2
02/01/2018,INN,PM10,35,2
02/01/2018,INN,PM2.5,25,2
02/01/2018,GAM,PM2.5,24,2
03/01/2018,ACO,PM10,69,2
03/01/2018,AJU,PM2.5,27,2
03/01/2018,ATI,PM10,65,2
03/01/2018,CUA,PM10,46,2
03/01/2018,CUT,PM10,88,2
03/01/2018,FAC,PM10,49,2
03/01/2018,HGM,PM10,67,2
03/01/2018,HGM,PM2.5,38,2
03/01/2018,MER,PM10,72,2
03/01/2018,MER,PM2.5,33,2
03/01/2018,NEZ,PM2.5,42,2
03/01/2018,SAG,PM10,97,2
03/01/2018,SAG,PM2.5,37,2
03/01/2018,SFE,PM10,52,2
03/01/2018,SFE,PM2.5,30,2
03/01/2018,TAH,PM10,65,2
03/01/2018,TLA,PM10,67,2
03/01/2018,TLA,PM2.5,34,2
03/01/2018,TLI,PM10,78,2
03/01/2018,UAX,PM2.5,36,2
03/01/2018,VIF,PM10,75,2
03/01/2018,XAL,PM10,116,2
03/01/2018,XAL,PM2.5,45,2
03/01/2018,CCA,PM2.5,34,2
03/01/2018,MGH,PM10,65,2
03/01/2018,MGH,PM2.5,40,2
03/01/2018,AJM,PM10,53,2
03/01/2018,AJM,PM2.5,30,2
03/01/2018,BJU,PM10,65,2
03/01/2018,BJU,PM2.5,37,2
03/01/2018,INN,PM10,49,2
03/01/2018,INN,PM2.5,29,2
03/01/2018,GAM,PM2.5,42,2
04/01/2018,ACO,PM10,79,2
04/01/2018,AJU,PM2.5,27,2
