DATETIME,HGM
2012-02-20,70.0
2012-02-21,64.0
2012-02-22,112.0
2012-02-23,76.0
2012-02-24,86.0
2012-02-25,97.0
2012-02-26,107.0
2012-02-27,67.0
2012-02-28,92.0
2012-02-29,102.0
2012-03-01,102.0
2012-03-02,154.0
2012-03-03,155.0
2012-03-04,102.0
2012-03-05,78.0
2012-03-06,113.0
2012-03-07,101.0
2012-03-08,122.0
2012-03-09,95.0
2012-03-10,112.0
2012-03-11,117.0
2012-03-12,81.0
2012-03-13,70.0
2012-03-14,81.0
2012-03-15,96.0
2012-03-16,106.0
2012-03-17,127.0
2012-03-18,106.0
2012-03-19,88.0
2012-03-20,58.0
2012-03-21,68.0
2012-03-22,70.0
2012-03-23,102.0
2012-03-24,111.0
2012-03-25,91.0
2012-03-26,97.0
2012-03-27,85.0
2012-03-28,110.0
2012-03-29,74.0
2012-03-30,88.0
2012-03-31,69.0
2012-04-01,49.0
2012-04-02,38.0
2012-04-03,70.0
2012-04-04,85.0
2012-04-05,65.0
2012-04-06,45.0
2012-04-07,71.0
2012-04-08,90.0
2012-04-09,86.0
2012-04-10,68.0
2012-04-11,77.0
2012-04-12,106.0
2012-04-13,106.0
2012-04-14,103.0
2012-04-15,96.0
2012-04-16,118.0
2012-04-17,74.0
2012-04-18,113.0
2012-04-19,94.0
2012-04-20,116.0
2012-04-21,105.0
2012-04-22,68.0
2012-04-23,74.0
2012-04-24,72.0
2012-04-25,67.0
2012-04-26,81.0
2012-04-27,106.0
2012-04-28,117.0
2012-04-29,125.0
2012-04-30,126.0
2012-05-01,148.0
2012-05-02,126.0
2012-05-03,108.0
2012-05-04,98.0
2012-05-05,101.0
2012-05-06,92.0
2012-05-07,116.0
2012-05-08,123.0
2012-05-09,101.0
2012-05-10,14.0
2012-05-11,
2012-05-12,
2012-05-13,
2012-05-14,86.0
2012-05-15,90.0
2012-05-16,108.0
2012-05-17,92.0
2012-05-18,91.0
2012-05-19,95.0
2012-05-20,77.0
2012-05-21,71.0
2012-05-22,77.0
2012-05-23,79.0
2012-05-24,109.0
2012-05-25,153.0
2012-05-26,135.0
2012-05-27,91.0
2012-05-28,122.0
