,DATETIME,FECHA,HORA,HGM,AÑO,MES
106632,2012-03-01 01:00:00,2012-03-01 00:00:00,1,53.0,2012,3
106633,2012-03-01 02:00:00,2012-03-01 00:00:00,2,46.0,2012,3
106634,2012-03-01 03:00:00,2012-03-01 00:00:00,3,64.0,2012,3
106635,2012-03-01 04:00:00,2012-03-01 00:00:00,4,61.0,2012,3
106636,2012-03-01 05:00:00,2012-03-01 00:00:00,5,68.0,2012,3
106637,2012-03-01 06:00:00,2012-03-01 00:00:00,6,75.0,2012,3
106638,2012-03-01 07:00:00,2012-03-01 00:00:00,7,87.0,2012,3
106639,2012-03-01 08:00:00,2012-03-01 00:00:00,8,98.0,2012,3
106640,2012-03-01 09:00:00,2012-03-01 00:00:00,9,96.0,2012,3
106641,2012-03-01 10:00:00,2012-03-01 00:00:00,10,118.0,2012,3
106642,2012-03-01 11:00:00,2012-03-01 00:00:00,11,112.0,2012,3
106643,2012-03-01 12:00:00,2012-03-01 00:00:00,12,108.0,2012,3
106644,2012-03-01 13:00:00,2012-03-01 00:00:00,13,64.0,2012,3
106645,2012-03-01 14:00:00,2012-03-01 00:00:00,14,53.0,2012,3
106646,2012-03-01 15:00:00,2012-03-01 00:00:00,15,57.0,2012,3
106647,2012-03-01 16:00:00,2012-03-01 00:00:00,16,62.0,2012,3
106648,2012-03-01 17:00:00,2012-03-01 00:00:00,17,49.0,2012,3
106649,2012-03-01 18:00:00,2012-03-01 00:00:00,18,57.0,2012,3
106650,2012-03-01 19:00:00,2012-03-01 00:00:00,19,70.0,2012,3
106651,2012-03-01 20:00:00,2012-03-01 00:00:00,20,70.0,2012,3
106652,2012-03-01 21:00:00,2012-03-01 00:00:00,21,85.0,2012,3
106653,2012-03-01 22:00:00,2012-03-01 00:00:00,22,87.0,2012,3
106654,2012-03-01 23:00:00,2012-03-01 00:00:00,23,83.0,2012,3
106655,2012-03-01 00:00:00,2012-03-01 00:00:00,0,58.0,2012,3
106656,2012-03-02 01:00:00,2012-03-02 00:00:00,1,62.0,2012,3
106657,2012-03-02 02:00:00,2012-03-02 00:00:00,2,61.0,2012,3
106658,2012-03-02 03:00:00,2012-03-02 00:00:00,3,62.0,2012,3
106659,2012-03-02 04:00:00,2012-03-02 00:00:00,4,58.0,2012,3
106660,2012-03-02 05:00:00,2012-03-02 00:00:00,5,58.0,2012,3
106661,2012-03-02 06:00:00,2012-03-02 00:00:00,6,63.0,2012,3
106662,2012-03-02 07:00:00,2012-03-02 00:00:00,7,66.0,2012,3
106663,2012-03-02 08:00:00,2012-03-02 00:00:00,8,76.0,2012,3
106664,2012-03-02 09:00:00,2012-03-02 00:00:00,9,82.0,2012,3
106665,2012-03-02 10:00:00,2012-03-02 00:00:00,10,132.0,2012,3
106666,2012-03-02 11:00:00,2012-03-02 00:00:00,11,162.0,2012,3
106667,2012-03-02 12:00:00,2012-03-02 00:00:00,12,60.0,2012,3
106668,2012-03-02 13:00:00,2012-03-02 00:00:00,13,56.0,2012,3
106669,2012-03-02 14:00:00,2012-03-02 00:00:00,14,87.0,2012,3
106670,2012-03-02 15:00:00,2012-03-02 00:00:00,15,82.0,2012,3
106671,2012-03-02 16:00:00,2012-03-02 00:00:00,16,89.0,2012,3
106672,2012-03-02 17:00:00,2012-03-02 00:00:00,17,96.0,2012,3
106673,2012-03-02 18:00:00,2012-03-02 00:00:00,18,105.0,2012,3
106674,2012-03-02 19:00:00,2012-03-02 00:00:00,19,87.0,2012,3
106675,2012-03-02 20:00:00,2012-03-02 00:00:00,20,66.0,2012,3
106676,2012-03-02 21:00:00,2012-03-02 00:00:00,21,84.0,2012,3
106677,2012-03-02 22:00:00,2012-03-02 00:00:00,22,74.0,2012,3
106678,2012-03-02 23:00:00,2012-03-02 00:00:00,23,91.0,2012,3
106679,2012-03-02 00:00:00,2012-03-02 00:00:00,0,64.0,2012,3
106680,2012-03-03 01:00:00,2012-03-03 00:00:00,1,68.0,2012,3
106681,2012-03-03 02:00:00,2012-03-03 00:00:00,2,66.0,2012,3
106682,2012-03-03 03:00:00,2012-03-03 00:00:00,3,72.0,2012,3
106683,2012-03-03 04:00:00,2012-03-03 00:00:00,4,62.0,2012,3
106684,2012-03-03 05:00:00,2012-03-03 00:00:00,5,68.0,2012,3
106685,2012-03-03 06:00:00,2012-03-03 00:00:00,6,66.0,2012,3
106686,2012-03-03 07:00:00,2012-03-03 00:00:00,7,64.0,2012,3
106687,2012-03-03 08:00:00,2012-03-03 00:00:00,8,73.0,2012,3
106688,2012-03-03 09:00:00,2012-03-03 00:00:00,9,113.0,2012,3
106689,2012-03-03 10:00:00,2012-03-03 00:00:00,10,131.0,2012,3
106690,2012-03-03 11:00:00,2012-03-03 00:00:00,11,68.0,2012,3
106691,2012-03-03 12:00:00,2012-03-03 00:00:00,12,114.0,2012,3
106692,2012-03-03 13:00:00,2012-03-03 00:00:00,13,99.0,2012,3
106693,2012-03-03 14:00:00,2012-03-03 00:00:00,14,89.0,2012,3
106694,2012-03-03 15:00:00,2012-03-03 00:00:00,15,98.0,2012,3
106695,2012-03-03 16:00:00,2012-03-03 00:00:00,16,86.0,2012,3
106696,2012-03-03 17:00:00,2012-03-03 00:00:00,17,72.0,2012,3
106697,2012-03-03 18:00:00,2012-03-03 00:00:00,18,60.0,2012,3
106698,2012-03-03 19:00:00,2012-03-03 00:00:00,19,66.0,2012,3
106699,2012-03-03 20:00:00,2012-03-03 00:00:00,20,114.0,2012,3
106700,2012-03-03 21:00:00,2012-03-03 00:00:00,21,119.0,2012,3
106701,2012-03-03 22:00:00,2012-03-03 00:00:00,22,66.0,2012,3
106702,2012-03-03 23:00:00,2012-03-03 00:00:00,23,53.0,2012,3
106703,2012-03-03 00:00:00,2012-03-03 00:00:00,0,43.0,2012,3
106704,2012-03-04 01:00:00,2012-03-04 00:00:00,1,34.0,2012,3
106705,2012-03-04 02:00:00,2012-03-04 00:00:00,2,18.0,2012,3
106706,2012-03-04 03:00:00,2012-03-04 00:00:00,3,30.132897603485837,2012,3
106707,2012-03-04 04:00:00,2012-03-04 00:00:00,4,15.0,2012,3
106708,2012-03-04 05:00:00,2012-03-04 00:00:00,5,10.0,2012,3
106709,2012-03-04 06:00:00,2012-03-04 00:00:00,6,17.0,2012,3
106710,2012-03-04 07:00:00,2012-03-04 00:00:00,7,13.0,2012,3
106711,2012-03-04 08:00:00,2012-03-04 00:00:00,8,26.0,2012,3
106712,2012-03-04 09:00:00,2012-03-04 00:00:00,9,29.0,2012,3
106713,2012-03-04 10:00:00,2012-03-04 00:00:00,10,35.0,2012,3
106714,2012-03-04 11:00:00,2012-03-04 00:00:00,11,28.0,2012,3
106715,2012-03-04 12:00:00,2012-03-04 00:00:00,12,71.0,2012,3
106716,2012-03-04 13:00:00,2012-03-04 00:00:00,13,82.0,2012,3
106717,2012-03-04 14:00:00,2012-03-04 00:00:00,14,32.0,2012,3
106718,2012-03-04 15:00:00,2012-03-04 00:00:00,15,30.132897603485837,2012,3
106719,2012-03-04 16:00:00,2012-03-04 00:00:00,16,69.0,2012,3
106720,2012-03-04 17:00:00,2012-03-04 00:00:00,17,95.0,2012,3
106721,2012-03-04 18:00:00,2012-03-04 00:00:00,18,57.0,2012,3
106722,2012-03-04 19:00:00,2012-03-04 00:00:00,19,54.0,2012,3
106723,2012-03-04 20:00:00,2012-03-04 00:00:00,20,50.0,2012,3
106724,2012-03-04 21:00:00,2012-03-04 00:00:00,21,55.0,2012,3
106725,2012-03-04 22:00:00,2012-03-04 00:00:00,22,70.0,2012,3
106726,2012-03-04 23:00:00,2012-03-04 00:00:00,23,58.0,2012,3
106727,2012-03-04 00:00:00,2012-03-04 00:00:00,0,54.0,2012,3
106728,2012-03-05 01:00:00,2012-03-05 00:00:00,1,46.0,2012,3
106729,2012-03-05 02:00:00,2012-03-05 00:00:00,2,42.0,2012,3
106730,2012-03-05 03:00:00,2012-03-05 00:00:00,3,36.0,2012,3
106731,2012-03-05 04:00:00,2012-03-05 00:00:00,4,38.0,2012,3
106732,2012-03-05 05:00:00,2012-03-05 00:00:00,5,58.0,2012,3
106733,2012-03-05 06:00:00,2012-03-05 00:00:00,6,54.0,2012,3
106734,2012-03-05 07:00:00,2012-03-05 00:00:00,7,58.0,2012,3
106735,2012-03-05 08:00:00,2012-03-05 00:00:00,8,72.0,2012,3
106736,2012-03-05 09:00:00,2012-03-05 00:00:00,9,70.0,2012,3
106737,2012-03-05 10:00:00,2012-03-05 00:00:00,10,67.0,2012,3
106738,2012-03-05 11:00:00,2012-03-05 00:00:00,11,77.0,2012,3
106739,2012-03-05 12:00:00,2012-03-05 00:00:00,12,104.0,2012,3
106740,2012-03-05 13:00:00,2012-03-05 00:00:00,13,80.0,2012,3
106741,2012-03-05 14:00:00,2012-03-05 00:00:00,14,80.0,2012,3
106742,2012-03-05 15:00:00,2012-03-05 00:00:00,15,56.0,2012,3
106743,2012-03-05 16:00:00,2012-03-05 00:00:00,16,74.0,2012,3
106744,2012-03-05 17:00:00,2012-03-05 00:00:00,17,52.0,2012,3
106745,2012-03-05 18:00:00,2012-03-05 00:00:00,18,60.0,2012,3
106746,2012-03-05 19:00:00,2012-03-05 00:00:00,19,62.0,2012,3
106747,2012-03-05 20:00:00,2012-03-05 00:00:00,20,52.0,2012,3
106748,2012-03-05 21:00:00,2012-03-05 00:00:00,21,58.0,2012,3
106749,2012-03-05 22:00:00,2012-03-05 00:00:00,22,70.0,2012,3
106750,2012-03-05 23:00:00,2012-03-05 00:00:00,23,56.0,2012,3
106751,2012-03-05 00:00:00,2012-03-05 00:00:00,0,54.0,2012,3
106752,2012-03-06 01:00:00,2012-03-06 00:00:00,1,52.0,2012,3
106753,2012-03-06 02:00:00,2012-03-06 00:00:00,2,50.0,2012,3
106754,2012-03-06 03:00:00,2012-03-06 00:00:00,3,42.0,2012,3
106755,2012-03-06 04:00:00,2012-03-06 00:00:00,4,44.0,2012,3
106756,2012-03-06 05:00:00,2012-03-06 00:00:00,5,41.0,2012,3
106757,2012-03-06 06:00:00,2012-03-06 00:00:00,6,46.0,2012,3
106758,2012-03-06 07:00:00,2012-03-06 00:00:00,7,62.0,2012,3
106759,2012-03-06 08:00:00,2012-03-06 00:00:00,8,70.0,2012,3
106760,2012-03-06 09:00:00,2012-03-06 00:00:00,9,92.0,2012,3
106761,2012-03-06 10:00:00,2012-03-06 00:00:00,10,97.0,2012,3
106762,2012-03-06 11:00:00,2012-03-06 00:00:00,11,68.0,2012,3
