DATETIME,HGM
2012-02-20,83.0
2012-02-21,94.0
2012-02-22,79.0
2012-02-23,105.0
2012-02-24,71.0
2012-02-25,117.0
2012-02-26,100.0
2012-02-27,42.0
2012-02-28,123.0
2012-02-29,111.0
2012-03-01,118.0
2012-03-02,162.0
2012-03-03,131.0
2012-03-04,95.0
2012-03-05,104.0
2012-03-06,100.0
2012-03-07,98.0
2012-03-08,84.0
2012-03-09,149.0
2012-03-10,147.0
2012-03-11,75.0
2012-03-12,73.0
2012-03-13,120.0
2012-03-14,105.0
2012-03-15,111.0
2012-03-16,110.0
2012-03-17,148.0
2012-03-18,104.0
2012-03-19,83.0
2012-03-20,67.0
2012-03-21,65.0
2012-03-22,55.0
2012-03-23,111.0
2012-03-24,121.0
2012-03-25,64.0
2012-03-26,80.0
2012-03-27,79.0
2012-03-28,103.0
2012-03-29,138.0
2012-03-30,116.0
2012-03-31,128.0
2012-04-01,74.0
2012-04-02,76.0
2012-04-03,47.0
2012-04-04,84.0
2012-04-05,106.0
2012-04-06,200.0
2012-04-07,89.0
2012-04-08,181.0
2012-04-09,140.0
2012-04-10,122.0
2012-04-11,156.0
2012-04-12,108.0
2012-04-13,95.0
2012-04-14,100.0
2012-04-15,71.0
2012-04-16,78.0
2012-04-17,133.0
2012-04-18,141.0
2012-04-19,122.0
2012-04-20,139.0
2012-04-21,75.0
2012-04-22,42.0
2012-04-23,76.0
2012-04-24,85.0
2012-04-25,54.0
2012-04-26,90.0
2012-04-27,134.0
2012-04-28,135.0
2012-04-29,132.0
2012-04-30,206.0
2012-05-01,127.0
2012-05-02,112.0
2012-05-03,139.0
2012-05-04,109.0
2012-05-05,118.0
2012-05-06,102.0
2012-05-07,157.0
2012-05-08,
2012-05-09,
2012-05-10,
2012-05-11,
2012-05-12,
2012-05-13,22.0
2012-05-14,76.0
2012-05-15,136.0
2012-05-16,97.0
2012-05-17,177.0
2012-05-18,86.0
2012-05-19,85.0
2012-05-20,95.0
2012-05-21,78.0
2012-05-22,87.0
2012-05-23,72.0
2012-05-24,80.0
2012-05-25,122.0
2012-05-26,102.0
2012-05-27,110.0
2012-05-28,78.0
2012-05-29,80.0
2012-05-30,78.0
2012-05-31,84.0
2012-06-01,89.0
2012-06-02,126.0
2012-06-03,59.0
2012-06-04,73.0
2012-06-05,112.0
2012-06-06,75.0
2012-06-07,106.0
2012-06-08,91.0
2012-06-09,116.0
2012-06-10,49.0
2012-06-11,82.0
2012-06-12,103.0
2012-06-13,103.0
2012-06-14,72.0
2012-06-15,79.0
2012-06-16,
2012-06-17,42.0
2012-06-18,59.0
2012-06-19,116.0
2012-06-20,65.0
2012-06-21,54.0
2012-06-22,108.0
2012-06-23,98.0
2012-06-24,85.0
2012-06-25,46.0
2012-06-26,60.0
2012-06-27,81.0
2012-06-28,57.0
2012-06-29,98.0
2012-06-30,72.0
2012-07-01,62.0
2012-07-02,90.0
2012-07-03,84.0
2012-07-04,127.0
2012-07-05,113.0
2012-07-06,108.0
2012-07-07,88.0
2012-07-08,76.0
2012-07-09,71.0
2012-07-10,81.0
2012-07-11,69.0
2012-07-12,66.0
2012-07-13,49.0
2012-07-14,81.0
2012-07-15,45.0
2012-07-16,35.0
2012-07-17,77.0
2012-07-18,86.0
2012-07-19,100.0
2012-07-20,103.0
2012-07-21,83.0
2012-07-22,63.0
2012-07-23,92.0
2012-07-24,90.0
2012-07-25,79.0
2012-07-26,76.0
2012-07-27,115.0
2012-07-28,93.0
2012-07-29,79.0
2012-07-30,87.0
2012-07-31,138.0
2012-08-01,78.0
2012-08-02,91.0
2012-08-03,84.0
2012-08-04,150.0
2012-08-05,97.0
2012-08-06,65.0
2012-08-07,96.0
2012-08-08,109.0
2012-08-09,66.0
2012-08-10,34.0
2012-08-11,84.0
2012-08-12,70.0
2012-08-13,62.0
2012-08-14,57.0
2012-08-15,104.0
2012-08-16,116.0
2012-08-17,66.0
2012-08-18,60.0
2012-08-19,61.0
2012-08-20,67.0
2012-08-21,75.0
2012-08-22,127.0
2012-08-23,116.0
2012-08-24,72.0
2012-08-25,60.0
2012-08-26,122.0
2012-08-27,78.0
2012-08-28,89.0
2012-08-29,106.0
2012-08-30,97.0
2012-08-31,128.0
2012-09-01,110.0
2012-09-02,72.0
2012-09-03,95.0
2012-09-04,100.0
2012-09-05,96.0
2012-09-06,105.0
2012-09-07,101.0
2012-09-08,120.0
2012-09-09,72.0
2012-09-10,76.0
2012-09-11,37.0
2012-09-12,68.0
2012-09-13,124.0
2012-09-14,120.0
2012-09-15,67.0
2012-09-16,89.0
2012-09-17,98.0
2012-09-18,71.0
2012-09-19,53.0
2012-09-20,53.0
2012-09-21,105.0
2012-09-22,79.0
2012-09-23,55.0
2012-09-24,50.0
2012-09-25,71.0
2012-09-26,102.0
2012-09-27,110.0
2012-09-28,75.0
2012-09-29,107.0
2012-09-30,114.0
2012-10-01,98.0
2012-10-02,44.0
2012-10-03,54.0
2012-10-04,73.0
2012-10-05,79.0
2012-10-06,94.0
2012-10-07,62.0
2012-10-08,53.0
2012-10-09,74.0
2012-10-10,72.0
2012-10-11,76.0
2012-10-12,45.0
2012-10-13,90.0
2012-10-14,45.0
2012-10-15,94.0
2012-10-16,89.0
2012-10-17,132.0
2012-10-18,113.0
2012-10-19,114.0
2012-10-20,150.0
2012-10-21,62.0
2012-10-22,125.0
2012-10-23,149.0
2012-10-24,80.0
2012-10-25,83.0
2012-10-26,116.0
2012-10-27,65.0
2012-10-28,111.0
2012-10-29,88.0
2012-10-30,145.0
2012-10-31,96.0
2012-11-01,79.0
2012-11-02,98.0
2012-11-03,65.0
2012-11-04,59.0
2012-11-05,99.0
2012-11-06,61.0
2012-11-07,58.0
2012-11-08,98.0
2012-11-09,124.0
2012-11-10,111.0
2012-11-11,129.0
2012-11-12,146.0
2012-11-13,69.0
2012-11-14,88.0
2012-11-15,73.0
2012-11-16,139.0
2012-11-17,102.0
2012-11-18,92.0
2012-11-19,89.0
2012-11-20,101.0
2012-11-21,
2012-11-22,
2012-11-23,89.0
2012-11-24,67.0
2012-11-25,107.0
2012-11-26,131.0
2012-11-27,120.0
2012-11-28,123.0
2012-11-29,121.0
2012-11-30,101.0
2012-12-01,114.0
2012-12-02,80.0
2012-12-03,122.0
2012-12-04,93.0
2012-12-05,83.0
2012-12-06,118.0
2012-12-07,125.0
2012-12-08,119.0
2012-12-09,105.0
2012-12-10,150.0
2012-12-11,81.0
2012-12-12,105.0
2012-12-13,116.0
2012-12-14,133.0
2012-12-15,134.0
2012-12-16,115.0
2012-12-17,118.0
2012-12-18,150.0
2012-12-19,84.0
2012-12-20,179.0
2012-12-21,146.0
2012-12-22,176.0
2012-12-23,149.0
2012-12-24,116.0
2012-12-25,171.0
2012-12-26,84.0
2012-12-27,133.0
2012-12-28,114.0
2012-12-29,199.0
2012-12-30,87.0
2012-12-31,65.0
2013-01-01,186.0
2013-01-02,100.0
2013-01-03,116.0
2013-01-04,160.0
2013-01-05,139.0
2013-01-06,124.0
2013-01-07,188.0
2013-01-08,68.0
2013-01-09,46.0
2013-01-10,112.0
2013-01-11,98.0
2013-01-12,110.0
2013-01-13,90.0
2013-01-14,78.0
2013-01-15,121.0
2013-01-16,147.0
2013-01-17,145.0
2013-01-18,156.0
2013-01-19,121.0
2013-01-20,83.0
2013-01-21,87.0
2013-01-22,97.0
2013-01-23,98.0
2013-01-24,104.0
2013-01-25,139.0
2013-01-26,118.0
2013-01-27,127.0
2013-01-28,92.0
2013-01-29,64.0
2013-01-30,113.0
2013-01-31,130.0
2013-02-01,148.0
2013-02-02,125.0
2013-02-03,88.0
2013-02-04,87.0
2013-02-05,104.0
2013-02-06,108.0
2013-02-07,125.0
2013-02-08,95.0
2013-02-09,98.0
2013-02-10,62.0
2013-02-11,91.0
2013-02-12,104.0
2013-02-13,106.0
2013-02-14,95.0
2013-02-15,109.0
2013-02-16,142.0
2013-02-17,105.0
2013-02-18,134.0
2013-02-19,104.0
2013-02-20,108.0
2013-02-21,87.0
2013-02-22,100.0
2013-02-23,107.0
2013-02-24,81.0
2013-02-25,132.0
2013-02-26,122.0
2013-02-27,101.0
2013-02-28,104.0
2013-03-01,211.0
2013-03-02,67.0
2013-03-03,81.0
2013-03-04,110.0
2013-03-05,194.0
2013-03-06,120.0
2013-03-07,143.0
2013-03-08,99.0
2013-03-09,111.0
2013-03-10,77.0
2013-03-11,150.0
2013-03-12,84.0
2013-03-13,110.0
2013-03-14,101.0
2013-03-15,115.0
2013-03-16,36.0
2013-03-17,41.0
2013-03-18,55.0
2013-03-19,104.0
2013-03-20,190.0
2013-03-21,119.0
2013-03-22,208.0
2013-03-23,79.0
2013-03-24,99.0
2013-03-25,122.0
2013-03-26,131.0
2013-03-27,100.0
2013-03-28,106.0
2013-03-29,102.0
2013-03-30,93.0
2013-03-31,108.0
2013-04-01,119.0
2013-04-02,94.0
2013-04-03,123.0
2013-04-04,147.0
2013-04-05,142.0
2013-04-06,101.0
2013-04-07,80.0
2013-04-08,91.0
2013-04-09,90.0
2013-04-10,132.0
2013-04-11,104.0
2013-04-12,138.0
2013-04-13,62.0
2013-04-14,81.0
2013-04-15,126.0
2013-04-16,158.0
2013-04-17,115.0
2013-04-18,171.0
2013-04-19,186.0
2013-04-20,188.0
2013-04-21,107.0
2013-04-22,132.0
2013-04-23,124.0
2013-04-24,120.0
2013-04-25,80.0
2013-04-26,121.0
2013-04-27,107.0
2013-04-28,77.0
2013-04-29,113.0
2013-04-30,90.0
2013-05-01,108.0
2013-05-02,152.0
2013-05-03,96.0
2013-05-04,134.0
2013-05-05,85.0
2013-05-06,131.0
2013-05-07,142.0
2013-05-08,123.0
2013-05-09,148.0
2013-05-10,135.0
2013-05-11,170.0
2013-05-12,132.0
2013-05-13,83.0
2013-05-14,84.0
2013-05-15,116.0
2013-05-16,121.0
2013-05-17,119.0
2013-05-18,80.0
2013-05-19,91.0
2013-05-20,99.0
2013-05-21,97.0
2013-05-22,118.0
2013-05-23,100.0
2013-05-24,102.0
2013-05-25,92.0
2013-05-26,77.0
2013-05-27,70.0
2013-05-28,93.0
2013-05-29,96.0
2013-05-30,96.0
2013-05-31,88.0
2013-06-01,77.0
2013-06-02,62.0
2013-06-03,58.0
2013-06-04,85.0
2013-06-05,92.0
2013-06-06,107.0
2013-06-07,120.0
2013-06-08,92.0
2013-06-09,91.0
2013-06-10,117.0
2013-06-11,95.0
2013-06-12,78.0
2013-06-13,96.0
2013-06-14,110.0
2013-06-15,123.0
2013-06-16,100.0
2013-06-17,93.0
2013-06-18,125.0
2013-06-19,65.0
2013-06-20,23.0
2013-06-21,46.0
2013-06-22,47.0
2013-06-23,76.0
2013-06-24,82.0
2013-06-25,68.0
2013-06-26,79.0
2013-06-27,112.0
2013-06-28,85.0
2013-06-29,99.0
2013-06-30,67.0
2013-07-01,70.0
2013-07-02,94.0
2013-07-03,79.0
2013-07-04,99.0
2013-07-05,45.0
2013-07-06,20.0
2013-07-07,14.0
2013-07-08,91.0
2013-07-09,97.0
2013-07-10,62.0
2013-07-11,66.0
2013-07-12,78.0
2013-07-13,94.0
2013-07-14,70.0
2013-07-15,89.0
2013-07-16,70.0
2013-07-17,66.0
2013-07-18,88.0
2013-07-19,64.0
2013-07-20,77.0
2013-07-21,54.0
2013-07-22,76.0
2013-07-23,49.0
2013-07-24,127.0
2013-07-25,100.0
2013-07-26,112.0
2013-07-27,134.0
2013-07-28,77.0
2013-07-29,113.0
2013-07-30,127.0
2013-07-31,91.0
2013-08-01,70.0
2013-08-02,78.0
2013-08-03,65.0
2013-08-04,61.0
2013-08-05,93.0
2013-08-06,91.0
2013-08-07,69.0
2013-08-08,100.0
2013-08-09,87.0
2013-08-10,79.0
2013-08-11,31.0
2013-08-12,81.0
2013-08-13,
2013-08-14,
2013-08-15,
2013-08-16,
2013-08-17,
2013-08-18,
2013-08-19,
2013-08-20,25.0
2013-08-21,57.0
2013-08-22,89.0
2013-08-23,41.0
2013-08-24,57.0
2013-08-25,21.0
2013-08-26,47.0
2013-08-27,31.0
2013-08-28,71.0
2013-08-29,54.0
2013-08-30,76.0
2013-08-31,65.0
2013-09-01,56.0
2013-09-02,59.0
2013-09-03,78.0
2013-09-04,59.0
2013-09-05,57.0
2013-09-06,43.0
2013-09-07,60.0
2013-09-08,51.0
2013-09-09,57.0
2013-09-10,105.0
2013-09-11,42.0
2013-09-12,38.0
2013-09-13,37.0
2013-09-14,48.0
2013-09-15,28.0
2013-09-16,31.0
2013-09-17,83.0
2013-09-18,66.0
2013-09-19,58.0
2013-09-20,78.0
2013-09-21,75.0
2013-09-22,38.0
2013-09-23,
2013-09-24,
2013-09-25,
2013-09-26,
2013-09-27,54.0
2013-09-28,86.0
2013-09-29,56.0
