DATETIME,HGM
2012-02-20,38.5
2012-02-21,38.5
2012-02-22,60.0
2012-02-23,37.5
2012-02-24,44.0
2012-02-25,57.0
2012-02-26,61.0
2012-02-27,31.0
2012-02-28,59.0
2012-02-29,68.0
2012-03-01,69.0
2012-03-02,75.0
2012-03-03,70.0
2012-03-04,42.5
2012-03-05,58.0
2012-03-06,55.5
2012-03-07,50.5
2012-03-08,59.0
2012-03-09,68.0
2012-03-10,51.0
2012-03-11,42.5
2012-03-12,36.0
2012-03-13,37.0
2012-03-14,46.5
2012-03-15,57.0
2012-03-16,51.0
2012-03-17,58.5
2012-03-18,49.0
2012-03-19,40.0
2012-03-20,36.0
2012-03-21,35.0
2012-03-22,36.0
2012-03-23,56.0
2012-03-24,68.0
2012-03-25,41.5
2012-03-26,55.5
2012-03-27,51.5
2012-03-28,49.5
2012-03-29,65.5
2012-03-30,63.5
2012-03-31,58.0
2012-04-01,48.0
2012-04-02,43.0
2012-04-03,34.5
2012-04-04,46.0
2012-04-05,37.5
2012-04-06,21.0
2012-04-07,36.0
2012-04-08,46.0
2012-04-09,59.0
2012-04-10,54.0
2012-04-11,61.0
2012-04-12,47.5
2012-04-13,47.0
2012-04-14,47.5
2012-04-15,42.0
2012-04-16,53.5
2012-04-17,47.0
2012-04-18,51.0
2012-04-19,51.5
2012-04-20,61.5
2012-04-21,57.0
2012-04-22,31.0
2012-04-23,35.0
2012-04-24,34.5
2012-04-25,33.5
2012-04-26,42.0
2012-04-27,63.0
2012-04-28,89.0
2012-04-29,88.0
2012-04-30,76.5
2012-05-01,54.0
2012-05-02,61.0
2012-05-03,65.5
2012-05-04,66.0
2012-05-05,68.5
2012-05-06,53.0
2012-05-07,62.0
2012-05-08,
2012-05-09,
2012-05-10,
2012-05-11,
2012-05-12,
2012-05-13,22.0
2012-05-14,38.5
2012-05-15,38.0
2012-05-16,45.0
2012-05-17,31.5
2012-05-18,39.0
2012-05-19,43.0
2012-05-20,37.5
2012-05-21,41.0
2012-05-22,35.0
2012-05-23,44.5
2012-05-24,58.5
2012-05-25,61.0
2012-05-26,58.5
2012-05-27,53.0
2012-05-28,46.5
2012-05-29,50.5
2012-05-30,50.5
2012-05-31,53.5
2012-06-01,50.0
