,DATETIME,FECHA,HORA,MGH,AÑO,MES
131496,2015-01-01 01:00:00,2015-01-01 00:00:00,1,165.0,2015,1
131497,2015-01-01 02:00:00,2015-01-01 00:00:00,2,293.0,2015,1
131498,2015-01-01 03:00:00,2015-01-01 00:00:00,3,266.0,2015,1
131499,2015-01-01 04:00:00,2015-01-01 00:00:00,4,178.0,2015,1
131500,2015-01-01 05:00:00,2015-01-01 00:00:00,5,146.0,2015,1
131501,2015-01-01 06:00:00,2015-01-01 00:00:00,6,163.0,2015,1
131502,2015-01-01 07:00:00,2015-01-01 00:00:00,7,172.0,2015,1
131503,2015-01-01 08:00:00,2015-01-01 00:00:00,8,164.0,2015,1
131504,2015-01-01 09:00:00,2015-01-01 00:00:00,9,164.0,2015,1
131505,2015-01-01 10:00:00,2015-01-01 00:00:00,10,172.0,2015,1
131506,2015-01-01 11:00:00,2015-01-01 00:00:00,11,169.0,2015,1
131507,2015-01-01 12:00:00,2015-01-01 00:00:00,12,126.0,2015,1
131508,2015-01-01 13:00:00,2015-01-01 00:00:00,13,97.0,2015,1
131509,2015-01-01 14:00:00,2015-01-01 00:00:00,14,64.0,2015,1
131510,2015-01-01 15:00:00,2015-01-01 00:00:00,15,34.0,2015,1
131511,2015-01-01 16:00:00,2015-01-01 00:00:00,16,24.0,2015,1
131512,2015-01-01 17:00:00,2015-01-01 00:00:00,17,16.0,2015,1
131513,2015-01-01 18:00:00,2015-01-01 00:00:00,18,15.0,2015,1
131514,2015-01-01 19:00:00,2015-01-01 00:00:00,19,12.0,2015,1
131515,2015-01-01 20:00:00,2015-01-01 00:00:00,20,31.0,2015,1
131516,2015-01-01 21:00:00,2015-01-01 00:00:00,21,54.0,2015,1
131517,2015-01-01 22:00:00,2015-01-01 00:00:00,22,40.0,2015,1
131518,2015-01-01 23:00:00,2015-01-01 00:00:00,23,37.0,2015,1
131519,2015-01-01 00:00:00,2015-01-01 00:00:00,0,36.0,2015,1
131520,2015-01-02 01:00:00,2015-01-02 00:00:00,1,31.0,2015,1
131521,2015-01-02 02:00:00,2015-01-02 00:00:00,2,25.0,2015,1
131522,2015-01-02 03:00:00,2015-01-02 00:00:00,3,20.0,2015,1
131523,2015-01-02 04:00:00,2015-01-02 00:00:00,4,17.0,2015,1
131524,2015-01-02 05:00:00,2015-01-02 00:00:00,5,17.0,2015,1
131525,2015-01-02 06:00:00,2015-01-02 00:00:00,6,23.0,2015,1
131526,2015-01-02 07:00:00,2015-01-02 00:00:00,7,27.0,2015,1
131527,2015-01-02 08:00:00,2015-01-02 00:00:00,8,41.0,2015,1
131528,2015-01-02 09:00:00,2015-01-02 00:00:00,9,41.0,2015,1
131529,2015-01-02 10:00:00,2015-01-02 00:00:00,10,51.0,2015,1
131530,2015-01-02 11:00:00,2015-01-02 00:00:00,11,46.0,2015,1
131531,2015-01-02 12:00:00,2015-01-02 00:00:00,12,42.0,2015,1
131532,2015-01-02 13:00:00,2015-01-02 00:00:00,13,29.0,2015,1
131533,2015-01-02 14:00:00,2015-01-02 00:00:00,14,22.0,2015,1
131534,2015-01-02 15:00:00,2015-01-02 00:00:00,15,20.0,2015,1
131535,2015-01-02 16:00:00,2015-01-02 00:00:00,16,15.0,2015,1
131536,2015-01-02 17:00:00,2015-01-02 00:00:00,17,12.0,2015,1
