,Title,Type,Episodes,Status,Start_Airing,End_Airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites,Description
0,Doraemon (2005),TV,Unknown,Currently Airing,"Apr 22, 2005 to ?",-,"<a href=""https://myanimelist.net/anime/season/2005/spring"">Spring 2005</a>",Fridays at 19:00 (JST),TV Asahi,add some,Shin-Ei Animation,Manga,"Sci-Fi,Comedy,Kids,Shounen",25 min.,PG - Children,7.53,1601,"7,201",92,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things.Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech.(Source: Wikipedia)"
1,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,Movie,1,Finished Airing,"Feb 15, 2019",-,-,-,"SoftBank Creative,Warner Bros. Pictures,Sentai Filmworks",Sentai Filmworks,J.C.Staff,Light novel,"Action,Adventure,Comedy,Fantasy,Romance",1 hr. 22 min.,PG-13 - Teens 13 or older,7.53,1602,"80,067",330,"In the city of Orario, beneath an impossibly tall tower, lies the dungeon. Only adventurers who form partnerships with the gods themselves have any hope of defeating the monsters that lie within. But the dungeon is not the only place where monsters exist. Far from Orario, in the ruins of an ancient city, a new threat arises. To counter this threat, the goddess Artemis has come to Orario in search of a champion—but it's not Ais Wallenstein (the legendary Sword Princess) nor Ottar (the strongest warrior to ever enter the dungeon) that she chooses. Rather it is Bell Cranel, a newbie adventurer partnered with a low-tier goddess.(Source: ANN)"
2,Free!,TV,12,Finished Airing,"Jul 4, 2013 to Sep 26, 2013",-,"<a href=""https://myanimelist.net/anime/season/2013/summer"">Summer 2013</a>",Thursdays at Unknown,"Lantis,Iwatobi High School Swimming Club,Asahi Broadcasting,Funimation,Discotek Media,Crunchyroll,Kyoto Animation",Funimation,Animation Do,Original,"Slice of Life,Comedy,Sports,Drama,School",24 min. per ep.,PG-13 - Teens 13 or older,7.53,1603,"426,508","8,515","Haruka Nanase has a love for water and a passion for swimming. In elementary school, he competed in and won a relay race with his three friends Rin Matsuoka, Nagisa Hazuki, and Makoto Tachibana. After claiming victory at the tournament, the four friends went their separate ways. Years later, they reunite as high school students; however, Rin couldn't care less about returning to the way things used to be. Not only does he attend a different school, but the sole thing important to him is proving that he is a better swimmer than Haruka.After the bitter reunion, Haruka, Nagisa, and Makoto decide to form the Iwatobi High School Swim Club, but they will need a fourth member if they hope to take part in the upcoming tournament. Enter Rei Ryuugazaki, a former member of the track team whom Nagisa recruits. As the time to compete draws near, the four develop a close bond while training intensely to come out on top and settle things between Haruka and Rin once and for all.[Written by MAL Rewrite]"
3,Future GPX Cyber Formula Saga,OVA,8,Finished Airing,"Aug 1, 1996 to Jul 25, 1997",-,-,-,,add some,Sunrise,Unknown,"Drama,Sci-Fi,Shounen,Sports",30 min. per ep.,R+ - Mild Nudity,7.53,1604,"1,600",8,"After his disappointing loss in the last round of the 14th Cyber Formula World Grand Prix, which causes him the championship, Hayato Kazami decides that he needs a change and switches over to the Sugo Garland SF-03 for the 15th Cyber Formula World Grand Prix while he waits for the newest Asurada design. However, his hope to make up for the past year's letdown is made difficult when Aoi ZIP Formula undergoes a major restructuring and brings in Kyoshiro Nagumo as the new president of the team. The new car that he brought to the team, driven by newcomer Phil Fritz, is seemingly unbeatable...(Source: ANN)"
4,Hetalia: The Beautiful World Extra Disc,OVA,1,Finished Airing,"Feb 26, 2014",-,-,-,"Frontier Works,Funimation",Funimation,Studio Deen,Web manga,"Comedy,Historical,Parody",5 min.,PG-13 - Teens 13 or older,7.53,1605,"7,451",15,"Unaired episode adapted from the manga chapter ""I Was Overwhelmed by Heroines."""
5,Hetalia: The World Twinkle Extra Disc,OVA,1,Finished Airing,"Feb 24, 2016",-,-,-,Funimation,Funimation,Studio Deen,Manga,"Comedy,Historical,Parody",12 min.,PG-13 - Teens 13 or older,7.53,1606,"5,228",17,"It's Halloween, and America decides to invite all the other countries to his party. Since there is a costume contest, the countries show up in a wide array of outfits, although it quickly becomes clear that some among them may have taken the competition a bit too seriously. But soon, the guests begin to wonder why America hasn't shown off his own costume. What could be the reason?[Written by MAL Rewrite]"
6,Hime-chan no Ribbon,TV,61,Finished Airing,"Oct 2, 1992 to Dec 3, 1993",-,"<a href=""https://myanimelist.net/anime/season/1992/fall"">Fall 1992</a>",Fridays at 18:00 (JST),Nihon Ad Systems,add some,Gallop,Manga,"Comedy,Fantasy,Magic,Romance,School,Shoujo",23 min. per ep.,PG - Children,7.53,1607,"5,580",51,"Erika, the princess of the Magic Kingdom has come to Earth in order to find a human girl who looks just like her. That girl turns out to be Himeko Nonohara, a tomboy's tomboy. Erika must give Himeko a magical item she has created in order to prove her worth as a successor to the crown. Himeko must test this item, a hair ribbon that allows her to transform into any other person she sees, to see if it is worthy. The series follows Himeko's adventures and her budding romance with Daichi, the boy who discovers her secret.(Source: ANN)"
7,Kimagure Orange☆Road OVA,OVA,8,Finished Airing,"Mar 1, 1989 to Apr 1, 1991",-,-,-,"AnimEigo,Discotek Media",AnimEigo,Studio Pierrot,Manga,"Magic,Comedy,Romance,School,Drama",30 min. per ep.,R - 17+ (violence & profanity),7.53,1608,"5,010",7,"Kimagure Orange Road OVA is basically the extension from the TV series. The time frame is probably in the middle of the TV series.Order to view with the TV series.<br/>
White Lovers - among the episodes 35 and 45<br/>
Hawai Suspence - among the episodes 17 and 25<br/>
I was a cat, I was a fish - among the episodes 17 and 30<br/>
Hurricane Akane, the shape-shifting girl - among the episodes 20 and 25<br/>
Spring is for Idols - among the episodes 23 and 30<br/>
Birth of a Star - Right after ""Spring is for Idols""<br/>
Unexpected Situation - after the OAV of Akane<br/>
Message in Rouge - after the episode 48 "
8,"Kimi to, Nami ni Noretara",Movie,1,Finished Airing,"Jun 21, 2019",-,-,-,GKIDS,GKIDS,Science SARU,Original,"Comedy,Drama,Fantasy,Romance",1 hr. 34 min.,PG-13 - Teens 13 or older,7.53,1609,"18,741",30,"The story centers on the relationship between Hinako, who has moved to a coastal town upon entering university and Minato, a young firefighter with a strong sense of justice. Hinako loves surfing and while fearless on the sea, she's still uncertain about her future. Following a fire mishap in the town, Hinako and Minato encounter each other. As they spend more time surfing together, Hinako feels drawn to Minato, who dedicates himself to help others.(Source: MAL News)"
9,Kiniro no Corda: Primo Passo - Hitonatsu no Encore,Special,1,Finished Airing,"Mar 25, 2007",-,-,-,"Aniplex,Yumeta Company,Hakusensha,Koei",Sentai Filmworks,Sentai Filmworks,Unknown,"Harem,Music,Romance,School,Shoujo",29 min.,G - All Ages,7.53,1610,"20,278",130,"Hino Kahoko goes to a summer training camp to play the violin with all the members who participated in the concours.Also known as ""La Corda d'oro - Special Episode 26"""
