iter	Passed	Remaining
0	5	5822
1	9	4895
2	13	4583
3	17	4383
4	21	4254
5	25	4190
6	29	4190
7	33	4143
8	37	4097
9	41	4065
10	45	4061
11	48	4033
12	52	4009
13	56	4009
14	62	4072
15	65	4051
16	69	4029
17	73	4011
18	77	3995
19	81	3979
20	85	3962
21	89	3964
22	93	3991
23	97	3972
24	101	3961
25	105	3944
26	109	3933
27	112	3920
28	116	3907
29	120	3896
30	124	3896
31	128	3897
32	132	3888
33	136	3878
34	140	3870
35	144	3861
36	148	3852
37	151	3845
38	156	3850
39	160	3843
40	163	3834
41	167	3826
42	171	3824
43	176	3825
44	181	3850
45	185	3852
46	189	3846
47	193	3841
48	197	3837
49	201	3832
50	206	3838
51	210	3838
52	216	3868
53	222	3890
54	227	3916
55	232	3916
56	237	3926
57	245	3987
58	252	4028
59	257	4039
60	263	4052
61	269	4078
62	273	4071
63	281	4119
64	286	4114
65	289	4103
66	294	4097
67	298	4090
68	302	4080
69	306	4074
70	311	4074
71	315	4061
72	318	4050
73	323	4042
74	326	4032
75	330	4022
76	334	4008
77	338	4004
78	342	3994
79	346	3984
80	350	3979
81	355	3974
82	358	3963
83	363	3963
84	368	3970
85	372	3962
86	377	3959
87	381	3957
88	387	3962
89	392	3964
90	396	3956
91	401	3958
92	406	3962
93	410	3952
94	413	3942
95	417	3933
96	421	3924
97	425	3915
98	429	3911
99	433	3902
100	437	3897
101	441	3887
102	445	3881
103	449	3873
104	453	3864
105	457	3858
106	462	3858
107	466	3851
108	470	3843
109	473	3834
110	477	3826
111	481	3818
112	485	3808
113	489	3802
114	493	3795
115	497	3790
116	501	3782
117	504	3771
118	508	3766
119	512	3759
120	516	3751
121	520	3745
122	525	3744
123	529	3737
124	532	3728
125	536	3721
126	540	3717
127	544	3711
128	548	3705
129	553	3701
130	557	3696
131	563	3702
132	568	3702
133	572	3699
134	576	3695
135	580	3690
136	585	3689
137	589	3683
138	593	3678
139	598	3674
140	604	3683
141	608	3677
142	612	3669
143	616	3662
144	620	3656
145	623	3649
146	628	3645
147	632	3639
148	635	3632
149	639	3626
150	643	3619
151	647	3613
152	651	3606
153	655	3599
154	658	3592
155	663	3587
156	666	3580
157	670	3575
158	674	3567
159	678	3562
160	682	3555
161	686	3549
162	689	3542
163	693	3536
164	697	3530
165	701	3525
166	705	3518
167	710	3516
168	713	3510
169	717	3504
170	721	3498
171	725	3492
172	729	3487
173	734	3486
174	738	3482
175	743	3480
176	747	3476
177	753	3478
178	761	3491
179	766	3490
180	772	3494
181	777	3494
182	781	3490
183	786	3488
184	790	3483
185	796	3486
186	802	3487
187	806	3484
188	811	3481
189	815	3478
190	819	3472
191	823	3466
192	827	3460
193	831	3455
194	836	3451
195	840	3449
196	844	3443
197	849	3440
198	853	3435
199	857	3429
200	861	3425
201	865	3421
202	870	3416
203	874	3410
204	879	3411
205	884	3409
206	889	3408
207	894	3404
208	898	3402
209	902	3396
210	907	3393
211	915	3401
212	919	3395
213	923	3390
214	927	3386
215	932	3384
216	936	3379
217	940	3374
218	944	3367
219	948	3364
220	953	3360
221	957	3354
222	961	3348
223	964	3343
224	968	3336
225	972	3330
226	976	3324
227	980	3318
228	983	3312
229	987	3307
230	991	3301
231	996	3299
232	1001	3297
233	1006	3294
234	1010	3290
235	1014	3284
236	1018	3279
237	1022	3273
238	1027	3270
239	1032	3270
240	1036	3265
241	1040	3260
242	1045	3258
243	1049	3251
244	1053	3246
245	1057	3240
246	1061	3236
247	1065	3231
248	1070	3229
249	1076	3229
250	1081	3226
251	1085	3220
252	1089	3215
253	1097	3223
254	1101	3219
255	1106	3216
256	1110	3211
257	1114	3205
258	1118	3200
259	1121	3192
260	1126	3188
261	1130	3184
262	1134	3179
263	1138	3174
264	1142	3169
265	1147	3165
266	1151	3160
267	1155	3155
268	1160	3154
269	1164	3149
270	1169	3145
271	1173	3140
272	1178	3137
273	1182	3133
274	1186	3127
275	1189	3121
276	1193	3116
277	1198	3111
278	1204	3111
279	1208	3106
280	1212	3102
281	1217	3100
282	1222	3096
283	1226	3092
284	1232	3091
285	1236	3086
286	1240	3080
287	1243	3075
288	1249	3073
289	1254	3070
290	1258	3065
291	1262	3061
292	1270	3065
293	1274	3061
294	1281	3062
295	1286	3059
296	1291	3056
297	1297	3056
298	1302	3053
299	1308	3053
300	1314	3052
301	1318	3047
302	1322	3041
303	1327	3040
304	1332	3035
305	1336	3032
306	1341	3028
307	1345	3022
308	1349	3017
309	1353	3013
310	1358	3008
311	1363	3005
312	1366	3000
313	1371	2995
314	1376	2993
315	1380	2988
316	1384	2983
317	1390	2981
318	1394	2976
319	1399	2974
320	1404	2970
321	1408	2964
322	1413	2961
323	1418	2959
324	1423	2956
325	1428	2952
326	1432	2948
327	1439	2948
328	1443	2943
329	1448	2941
330	1452	2936
331	1457	2931
332	1461	2926
333	1465	2921
334	1469	2917
335	1473	2912
336	1478	2908
337	1482	2902
338	1486	2897
339	1489	2892
340	1494	2888
341	1498	2883
342	1502	2878
343	1507	2874
344	1511	2869
345	1515	2863
346	1518	2858
347	1522	2852
348	1526	2847
349	1531	2844
350	1537	2843
351	1541	2838
352	1545	2832
353	1549	2827
354	1553	2823
355	1558	2818
356	1562	2813
357	1566	2809
358	1570	2804
359	1575	2800
360	1579	2795
361	1583	2790
362	1586	2784
363	1591	2780
364	1597	2779
365	1602	2775
366	1606	2771
367	1610	2766
368	1614	2761
369	1620	2759
370	1626	2758
371	1630	2753
372	1634	2747
373	1638	2742
374	1643	2739
375	1647	2734
376	1651	2729
377	1655	2724
378	1659	2719
379	1663	2714
380	1667	2709
381	1671	2704
382	1675	2699
383	1679	2694
384	1683	2689
385	1687	2684
386	1692	2681
387	1696	2675
388	1700	2671
389	1704	2666
390	1708	2661
391	1715	2660
392	1719	2656
393	1725	2654
394	1729	2649
395	1733	2644
396	1737	2639
397	1742	2635
398	1746	2631
399	1750	2626
400	1755	2622
401	1760	2618
402	1765	2615
403	1769	2611
404	1774	2606
405	1778	2602
406	1789	2606
407	1796	2606
408	1800	2601
409	1805	2597
410	1809	2592
411	1814	2589
412	1825	2593
413	1829	2589
414	1834	2585
415	1837	2580
416	1841	2575
417	1846	2571
418	1851	2566
419	1856	2563
420	1860	2558
421	1865	2554
422	1869	2550
423	1873	2544
424	1877	2539
