property_type,room_type,accommodates,bathrooms,cancellation_policy,cleaning_fee,host_identity_verified,instant_bookable,number_of_reviews,review_scores_rating,bedrooms,beds,price,host_response,amenities_ratio,regions
6,2,7,1.0,2,1,0,1,6,93.0,3.0,3.0,169.0,1,0.19480519480519481,9
6,1,2,1.0,2,1,1,1,3,100.0,1.0,1.0,85.00000000000001,1,0.12987012987012986,6
4,2,2,1.0,1,1,1,0,9,93.0,1.0,1.0,119.99999999999996,1,0.33766233766233766,7
5,1,2,1.0,1,1,0,0,159,99.0,1.0,1.0,119.99999999999996,1,0.2727272727272727,6
6,1,2,1.0,2,1,1,0,82,93.0,1.0,1.0,100.00000000000004,1,0.19480519480519481,9
2,1,2,2.0,2,1,1,0,12,88.0,1.0,1.0,99.0,1,0.24675324675324675,4
5,2,8,1.0,2,1,0,1,5,72.0,3.0,3.0,99.0,1,0.3116883116883117,8
6,2,4,1.0,1,1,1,1,73,99.0,1.0,1.0,135.00000000000003,1,0.37662337662337664,7
6,2,4,1.0,2,1,1,0,248,96.0,2.0,3.0,184.99999999999991,1,0.35064935064935066,7
6,1,2,1.0,1,1,1,1,17,96.0,1.0,1.0,79.99999999999997,0,0.22077922077922077,8
5,1,2,1.0,2,1,1,1,138,96.0,1.0,1.0,125.00000000000004,1,0.36363636363636365,6
6,1,1,1.0,2,1,0,0,11,84.0,1.0,1.0,50.000000000000036,0,0.23376623376623376,8
4,1,2,1.0,2,1,1,1,40,96.0,1.0,1.0,108.00000000000004,1,0.3246753246753247,4
6,1,8,1.0,1,1,1,1,44,92.0,1.0,7.0,74.99999999999997,1,0.19480519480519481,7
6,1,2,1.0,0,1,1,0,3,100.0,1.0,1.0,119.00000000000013,1,0.2597402597402597,8
6,2,2,1.0,2,1,1,0,31,94.0,1.0,1.0,108.00000000000004,1,0.22077922077922077,9
5,2,4,1.0,2,1,0,0,3,93.0,2.0,2.0,349.99999999999983,1,0.2597402597402597,7
6,2,6,1.0,2,1,1,0,5,100.0,2.0,4.0,125.00000000000004,1,0.33766233766233766,4
6,2,3,1.0,1,1,1,0,1,100.0,1.0,1.0,89.99999999999967,0,0.23376623376623376,7
6,2,6,2.0,2,1,1,1,30,89.0,2.0,2.0,119.00000000000013,1,0.2987012987012987,7
6,2,2,1.0,0,1,1,0,4,100.0,0.0,1.0,89.99999999999967,1,0.2077922077922078,7
5,1,2,1.0,0,1,1,0,6,100.0,1.0,1.0,119.00000000000013,1,0.22077922077922077,5
6,2,3,1.0,0,1,1,0,3,100.0,1.0,1.0,349.99999999999983,1,0.16883116883116883,9
1,2,6,1.0,2,1,1,1,22,96.0,1.0,6.0,97.0,0,0.19480519480519481,8
6,1,1,1.0,0,0,0,0,1,100.0,1.0,1.0,149.99999999999997,1,0.2077922077922078,6
5,1,4,1.0,2,1,1,1,31,93.0,1.0,2.0,128.99999999999997,1,0.5584415584415584,6
6,2,7,2.0,2,1,1,1,6,84.0,2.0,3.0,161.99999999999994,1,0.3116883116883117,1
5,1,3,1.0,2,1,0,0,1,80.0,1.0,1.0,59.99999999999999,1,0.2077922077922078,5
5,1,4,1.0,1,1,1,0,15,100.0,1.0,3.0,100.00000000000004,1,0.2597402597402597,7
6,2,2,1.0,2,1,1,0,2,100.0,0.0,1.0,122.00000000000004,1,0.22077922077922077,9
1,1,2,1.0,2,1,1,0,23,89.0,1.0,1.0,138.00000000000006,1,0.2727272727272727,9
6,1,2,1.0,2,1,1,1,28,99.0,1.0,1.0,55.00000000000002,0,0.2597402597402597,1
6,1,2,1.0,1,1,1,0,7,94.0,1.0,1.0,39.99999999999998,1,0.2597402597402597,9
5,2,9,3.0,1,1,1,1,32,96.0,4.0,4.0,478.99999999999983,1,0.37662337662337664,7
6,1,2,1.0,0,0,1,0,144,96.0,1.0,2.0,55.00000000000002,0,0.19480519480519481,9
6,2,9,2.0,2,1,1,0,10,96.0,2.0,5.0,199.0,1,0.2987012987012987,3
6,2,3,1.0,2,1,1,0,16,94.0,1.0,1.0,144.99999999999997,0,0.06493506493506493,6
6,2,2,1.0,2,1,1,0,38,88.0,1.0,1.0,135.00000000000003,1,0.19480519480519481,9
6,2,2,1.0,0,0,0,1,14,89.0,1.0,2.0,104.99999999999996,1,0.09090909090909091,9
6,1,1,1.0,2,1,0,0,7,93.0,1.0,1.0,88.99999999999999,1,0.18181818181818182,8
5,2,4,2.0,0,1,1,0,9,100.0,2.0,2.0,324.99999999999994,1,0.11688311688311688,6
6,1,4,1.0,2,0,1,0,105,89.0,1.0,2.0,74.99999999999997,1,0.23376623376623376,8
6,1,2,1.0,1,1,1,0,67,99.0,1.0,1.0,79.99999999999997,1,0.2597402597402597,8
5,2,3,1.0,1,1,0,0,10,98.0,2.0,2.0,159.0,1,0.2857142857142857,1
5,2,7,1.0,2,1,1,0,3,100.0,2.0,2.0,199.99999999999991,1,0.24675324675324675,1
6,1,2,1.0,2,1,1,1,13,94.0,1.0,1.0,87.0,1,0.3246753246753247,9
3,0,4,1.5,2,1,0,0,1,100.0,1.0,4.0,32.0,1,0.15584415584415584,8
5,1,1,1.0,0,1,0,0,9,80.0,1.0,1.0,32.999999999999986,1,0.07792207792207792,8
6,2,4,2.0,2,1,1,0,23,90.0,2.0,4.0,275.00000000000057,0,0.33766233766233766,7
3,1,2,1.0,1,0,1,0,120,90.0,0.0,1.0,88.99999999999999,1,0.2987012987012987,7
6,1,2,1.0,0,1,1,0,10,98.0,1.0,1.0,34.99999999999999,1,0.15584415584415584,8
6,2,7,2.5,2,1,1,0,10,98.0,3.0,4.0,499.99999999999983,1,0.3116883116883117,7
6,2,4,2.0,2,1,1,0,3,100.0,3.0,3.0,683.9999999999986,1,0.5324675324675324,9
6,2,4,1.0,2,1,0,0,25,94.0,2.0,3.0,149.99999999999997,1,0.2727272727272727,8
6,2,2,1.0,1,1,1,0,2,100.0,1.0,1.0,254.99999999999991,1,0.19480519480519481,9
5,1,4,1.0,0,1,1,0,61,99.0,2.0,2.0,100.00000000000004,1,0.38961038961038963,4
4,1,1,1.0,2,1,1,0,13,95.0,1.0,1.0,100.00000000000004,1,0.3116883116883117,8
4,2,5,1.0,2,1,0,0,15,97.0,2.0,3.0,263.99999999999994,1,0.24675324675324675,8
6,1,2,1.0,2,1,1,0,206,91.0,1.0,1.0,133.99999999999997,1,0.12987012987012986,9
5,2,6,2.0,1,1,1,0,26,100.0,2.0,3.0,239.99999999999974,1,0.5454545454545454,7
6,2,2,1.0,2,1,0,0,8,100.0,0.0,1.0,68.00000000000001,1,0.11688311688311688,7
5,2,2,1.0,2,1,1,1,43,97.0,1.0,1.0,74.99999999999997,1,0.2987012987012987,1
6,2,2,1.0,1,0,1,0,44,94.0,0.0,2.0,78.0,1,0.14285714285714285,8
6,2,5,1.0,2,1,0,0,22,95.0,3.0,3.0,149.99999999999997,1,0.19480519480519481,8
6,2,2,1.0,0,0,0,0,16,93.0,1.0,1.0,85.00000000000001,1,0.11688311688311688,8
6,1,2,1.0,0,1,0,0,1,100.0,1.0,1.0,79.99999999999997,1,0.3116883116883117,9
4,2,3,1.0,0,0,1,0,5,100.0,2.0,2.0,175.00000000000009,1,0.22077922077922077,4
5,1,2,1.0,1,1,1,0,14,99.0,1.0,1.0,34.99999999999999,1,0.18181818181818182,0
6,2,6,1.0,1,1,1,1,186,97.0,2.0,4.0,275.00000000000057,1,0.2857142857142857,6
6,2,4,1.0,2,1,0,0,15,87.0,1.0,1.0,128.99999999999997,1,0.2597402597402597,8
6,2,2,1.0,0,1,1,0,2,100.0,1.0,1.0,99.0,1,0.42857142857142855,9
0,1,3,1.0,2,1,1,1,8,75.0,1.0,2.0,95.0,0,0.23376623376623376,6
6,2,3,1.0,0,1,1,0,11,94.0,1.0,2.0,175.00000000000009,1,0.33766233766233766,9
5,1,2,1.0,2,1,1,1,36,96.0,1.0,1.0,98.00000000000004,0,0.2987012987012987,7
5,2,6,1.5,1,0,1,0,2,90.0,3.0,3.0,129.99999999999997,1,0.11688311688311688,8
6,1,2,1.0,1,1,1,0,167,89.0,1.0,1.0,74.99999999999997,1,0.09090909090909091,8
6,1,2,1.0,0,1,1,1,9,100.0,1.0,1.0,79.99999999999997,1,0.16883116883116883,8
5,1,2,1.0,1,1,1,0,102,95.0,1.0,1.0,125.00000000000004,0,0.23376623376623376,6
6,1,2,1.5,1,1,0,0,2,100.0,1.0,1.0,62.00000000000001,1,0.2597402597402597,8
5,2,4,1.5,1,1,0,0,4,100.0,2.0,2.0,184.99999999999991,1,0.2857142857142857,5
6,2,5,2.0,1,1,1,0,3,100.0,2.0,3.0,389.0000000000005,0,0.4805194805194805,4
6,1,2,2.0,2,0,1,0,23,93.0,1.0,1.0,50.000000000000036,1,0.2077922077922078,7
6,1,2,1.0,2,1,0,0,9,91.0,1.0,1.0,70.00000000000003,1,0.22077922077922077,9
6,2,2,1.0,2,1,1,0,51,93.0,0.0,2.0,81.99999999999993,1,0.35064935064935066,7
6,2,2,1.0,1,0,0,0,43,92.0,0.0,1.0,89.99999999999967,1,0.2077922077922078,8
3,1,2,1.0,0,1,1,1,22,96.0,1.0,1.0,108.99999999999996,0,0.2727272727272727,6
6,2,8,2.0,2,1,1,0,8,80.0,1.0,2.0,324.99999999999994,1,0.22077922077922077,9
5,1,1,1.5,0,0,0,1,4,90.0,1.0,1.0,28.99999999999999,0,0.22077922077922077,1
6,2,4,2.0,1,1,0,0,28,99.0,2.0,3.0,295.0000000000001,1,0.36363636363636365,9
5,2,10,3.0,2,1,1,0,3,93.0,4.0,5.0,400.00000000000017,0,0.2857142857142857,0
6,2,4,2.0,2,1,1,0,26,98.0,2.0,2.0,289.0000000000003,1,0.24675324675324675,7
6,1,2,1.0,1,1,0,1,5,76.0,1.0,1.0,59.00000000000002,1,0.19480519480519481,8
