,property_type,room_type,bathrooms,cancellation_policy,cleaning_fee,host_identity_verified,instant_bookable,number_of_reviews,price,host_response,amenities_ratio,regions
0,6,2,1.0,2,1,0,1,0.06413536872135192,169.0,1,0.1948051948051948,9
1,6,1,1.0,2,1,1,1,0.02997752528090085,85.00000000000001,1,0.12987012987012986,6
2,4,2,1.0,1,1,1,0,0.0962911108149554,119.99999999999996,1,0.3376623376623377,7
3,5,1,1.0,1,1,0,0,0.8488243257459769,119.99999999999996,1,0.2727272727272727,6
4,6,1,1.0,2,1,1,0,0.6612258200861331,100.00000000000004,1,0.1948051948051948,9
5,2,1,2.0,2,1,1,0,0.13506184716234818,99.0,1,0.24675324675324675,4
6,5,2,1.0,2,1,0,1,0.0687386697936811,99.0,1,0.3116883116883117,8
7,6,2,1.0,1,1,1,1,0.5931236098681685,135.00000000000003,1,0.37662337662337664,7
8,6,2,1.0,2,1,1,0,0.9323769489518433,184.99999999999991,1,0.35064935064935066,7
9,6,1,1.0,1,1,1,1,0.1743154295918656,79.99999999999997,0,0.2207792207792208,8
10,5,1,1.0,2,1,1,1,0.8208180707337334,125.00000000000004,1,0.3636363636363637,6
11,6,1,1.0,2,1,0,0,0.12981666953062032,50.000000000000036,0,0.23376623376623376,8
12,4,1,1.0,2,1,1,1,0.3845087494159,108.00000000000004,1,0.3246753246753247,4
13,6,1,1.0,1,1,1,1,0.42911005402227725,74.99999999999997,1,0.1948051948051948,7
14,6,1,1.0,0,1,1,0,0.02997752528090085,119.00000000000013,1,0.2597402597402597,8
15,6,2,1.0,2,1,1,0,0.31309936910540687,108.00000000000004,1,0.2207792207792208,9
16,5,2,1.0,2,1,0,0,0.03219670022196588,349.99999999999983,1,0.2597402597402597,7
17,6,2,1.0,2,1,1,0,0.049798721942161436,125.00000000000004,1,0.3376623376623377,4
18,6,2,1.0,1,1,1,0,0.009994005394605663,89.99999999999967,0,0.23376623376623376,7
19,6,2,2.0,2,1,1,1,0.3186264939385831,119.00000000000013,1,0.2987012987012987,7
20,6,2,1.0,0,1,1,0,0.03995806603444981,89.99999999999967,1,0.2077922077922078,7
21,5,1,1.0,0,1,1,0,0.0598743955159359,119.00000000000013,1,0.2207792207792208,5
22,6,2,1.0,0,1,1,0,0.029970044925131015,349.99999999999983,1,0.16883116883116886,9
23,1,2,1.0,2,1,1,1,0.2225403319056346,97.0,0,0.1948051948051948,8
24,6,1,1.0,0,0,0,0,0.00999800059980007,149.99999999999997,1,0.2077922077922078,6
25,5,1,1.0,2,1,1,1,0.3158828170485552,128.99999999999997,1,0.5584415584415584,6
26,6,2,2.0,2,1,1,1,0.07093764759448869,161.99999999999994,1,0.3116883116883117,1
27,5,1,1.0,2,1,0,0,0.012488297703785156,59.99999999999999,1,0.2077922077922078,5
28,5,1,1.0,1,1,1,0,0.14815221273648993,100.00000000000004,1,0.2597402597402597,7
29,6,2,1.0,2,1,1,0,0.019991006070447338,122.00000000000004,1,0.2207792207792208,9
30,1,1,1.0,2,1,1,0,0.2501182312669545,138.00000000000006,1,0.2727272727272727,9
31,6,1,1.0,2,1,1,1,0.27207556976737773,55.00000000000002,0,0.2597402597402597,1
32,6,1,1.0,1,1,1,0,0.07423739685708021,39.99999999999998,1,0.2597402597402597,9
33,5,2,3.0,1,1,1,1,0.31449726378589193,478.99999999999983,1,0.37662337662337664,7
34,6,1,1.0,0,0,1,0,0.8319253149463256,55.00000000000002,0,0.1948051948051948,9
35,6,2,2.0,2,1,1,0,0.10299977649072752,199.0,1,0.2987012987012987,3
36,6,2,1.0,2,1,1,0,0.1676979336368273,144.99999999999997,0,0.06493506493506493,6
37,6,2,1.0,2,1,1,0,0.39630663821099726,135.00000000000003,1,0.1948051948051948,9
38,6,2,1.0,0,0,0,1,0.15530649791416898,104.99999999999996,1,0.09090909090909093,9
39,6,1,1.0,2,1,0,0,0.07504356471402417,88.99999999999999,1,0.18181818181818185,8
40,5,2,2.0,0,1,1,0,0.08953118867562554,324.99999999999994,1,0.11688311688311688,6
41,6,1,1.0,2,0,1,0,0.7624124453724209,74.99999999999997,1,0.23376623376623376,8
42,6,1,1.0,1,1,1,0,0.5603605242873829,79.99999999999997,1,0.2597402597402597,8
43,5,2,1.0,1,1,0,0,0.10142488604635197,159.0,1,0.2857142857142857,1
44,5,2,1.0,2,1,1,0,0.02990148737019831,199.99999999999991,1,0.24675324675324675,1
45,6,1,1.0,2,1,1,1,0.13694836682854555,87.0,1,0.3246753246753247,9
46,3,0,1.5,2,1,0,0,0.00998304322753929,32.0,1,0.15584415584415584,8
47,5,1,1.0,0,1,0,0,0.11176890762046672,32.999999999999986,1,0.07792207792207792,8
48,6,2,2.0,2,1,1,0,0.24708339070426358,275.00000000000057,0,0.3376623376623377,7
49,3,1,1.0,1,0,1,0,0.7999111259231829,88.99999999999999,1,0.2987012987012987,7
50,6,1,1.0,0,1,1,0,0.10148231951452122,34.99999999999999,1,0.15584415584415584,8
51,6,2,2.5,2,1,1,0,0.10112883018476362,499.99999999999983,1,0.3116883116883117,7
52,6,2,2.0,2,1,1,0,0.029935707269915547,683.9999999999986,1,0.5324675324675324,9
53,6,2,1.0,2,1,0,0,0.2566296918431518,149.99999999999997,1,0.2727272727272727,8
54,6,2,1.0,1,1,1,0,0.019990007493755464,254.99999999999991,1,0.1948051948051948,9
55,5,1,1.0,0,1,1,0,0.5241122365465809,100.00000000000004,1,0.3896103896103896,4
56,4,1,1.0,2,1,1,0,0.13555647253793654,100.00000000000004,1,0.3116883116883117,8
57,4,2,1.0,2,1,0,0,0.15252221902164076,263.99999999999994,1,0.24675324675324675,8
58,6,1,1.0,2,1,1,0,0.9146706727147624,133.99999999999997,1,0.12987012987012986,9
59,5,2,2.0,1,1,1,0,0.25105836578433915,239.99999999999974,1,0.5454545454545454,7
60,6,2,1.0,2,1,0,0,0.07972542013655334,68.00000000000001,1,0.11688311688311688,7
61,5,2,1.0,2,1,1,1,0.4051558692763699,74.99999999999997,1,0.2987012987012987,1
62,6,2,1.0,1,0,1,0,0.42378277069118075,78.0,1,0.14285714285714285,8
63,6,2,1.0,2,1,0,0,0.22510001499426596,149.99999999999997,1,0.1948051948051948,8
64,6,2,1.0,0,0,0,0,0.16949494907611917,85.00000000000001,1,0.11688311688311688,8
65,6,1,1.0,0,1,0,0,0.009996501836428782,79.99999999999997,1,0.3116883116883117,9
66,4,2,1.0,0,0,1,0,0.049895329596613254,175.00000000000009,1,0.2207792207792208,4
67,5,1,1.0,1,1,1,0,0.13997900472381908,34.99999999999999,1,0.18181818181818185,0
68,6,2,1.0,1,1,1,1,0.8861061880399006,275.00000000000057,1,0.2857142857142857,6
69,6,2,1.0,2,1,0,0,0.16971105832553265,128.99999999999997,1,0.2597402597402597,8
70,6,2,1.0,0,1,1,0,0.019990007493755464,99.0,1,0.42857142857142855,9
71,0,1,1.0,2,1,1,1,0.10593471467584442,95.0,0,0.23376623376623376,6
72,6,2,1.0,0,1,1,0,0.11613744216742246,175.00000000000009,1,0.3376623376623377,9
73,5,1,1.0,2,1,1,1,0.35102327800295946,98.00000000000004,0,0.2987012987012987,7
74,5,2,1.5,1,0,1,0,0.022143085918268475,129.99999999999997,1,0.11688311688311688,8
75,6,1,1.0,1,1,1,0,0.8824252577371736,74.99999999999997,1,0.09090909090909093,8
76,6,1,1.0,0,1,1,1,0.08961103615699445,79.99999999999997,1,0.16883116883116886,8
77,5,1,1.0,1,1,1,0,0.7316576187731693,125.00000000000004,0,0.23376623376623376,6
78,6,1,1.5,1,1,0,0,0.019990007493755464,62.00000000000001,1,0.2597402597402597,8
79,5,2,1.5,1,1,0,0,0.039920239202789955,184.99999999999991,1,0.2857142857142857,5
80,6,2,2.0,1,1,1,0,0.02992974754314538,389.0000000000005,0,0.4805194805194805,4
81,6,1,2.0,2,0,1,0,0.24000036294978364,50.000000000000036,1,0.2077922077922078,7
82,6,1,1.0,2,1,0,0,0.09838563062549086,70.00000000000003,1,0.2207792207792208,9
83,6,2,1.0,2,1,1,0,0.4806617396267564,81.99999999999993,1,0.35064935064935066,7
84,6,2,1.0,1,0,0,0,0.4233218581874861,89.99999999999967,1,0.2077922077922078,8
85,3,1,1.0,0,1,1,1,0.2233071029536426,108.99999999999996,0,0.2727272727272727,6
86,6,2,2.0,2,1,1,0,0.0989768568131018,324.99999999999994,1,0.2207792207792208,9
87,5,1,1.5,0,0,0,1,0.04439240976878191,28.99999999999999,0,0.2207792207792208,1
88,6,2,2.0,1,1,0,0,0.27178062291261107,295.0000000000001,1,0.3636363636363637,9
89,5,2,3.0,2,1,1,0,0.03198192465977843,400.00000000000017,0,0.2857142857142857,0
90,6,2,2.0,2,1,1,0,0.2561358820277077,289.0000000000003,1,0.24675324675324675,7
91,6,1,1.0,1,1,0,1,0.065613633934983,59.00000000000002,1,0.1948051948051948,8
92,5,1,1.0,2,1,1,0,0.5972581661974136,74.99999999999997,1,0.2207792207792208,7
