,property_type,room_type,accommodates,bathrooms,cancellation_policy,cleaning_fee,host_identity_verified,instant_bookable,number_of_reviews,review_scores_rating,bedrooms,beds,price,host_response,amenities_ratio,regions
1,6,1,2,1.0,2,1,1,1,3,100.0,1.0,1.0,85.00000000000001,1,0.12987012987012986,6
2,4,2,2,1.0,1,1,1,0,9,93.0,1.0,1.0,119.99999999999996,1,0.3376623376623377,7
4,6,1,2,1.0,2,1,1,0,82,93.0,1.0,1.0,100.00000000000004,1,0.1948051948051948,9
5,2,1,2,2.0,2,1,1,0,12,88.0,1.0,1.0,99.0,1,0.24675324675324675,4
7,6,2,4,1.0,1,1,1,1,73,99.0,1.0,1.0,135.00000000000003,1,0.37662337662337664,7
9,6,1,2,1.0,1,1,1,1,17,96.0,1.0,1.0,79.99999999999997,0,0.2207792207792208,8
10,5,1,2,1.0,2,1,1,1,138,96.0,1.0,1.0,125.00000000000004,1,0.3636363636363637,6
12,4,1,2,1.0,2,1,1,1,40,96.0,1.0,1.0,108.00000000000004,1,0.3246753246753247,4
14,6,1,2,1.0,0,1,1,0,3,100.0,1.0,1.0,119.00000000000013,1,0.2597402597402597,8
15,6,2,2,1.0,2,1,1,0,31,94.0,1.0,1.0,108.00000000000004,1,0.2207792207792208,9
16,5,2,4,1.0,2,1,0,0,3,93.0,2.0,2.0,349.99999999999983,1,0.2597402597402597,7
18,6,2,3,1.0,1,1,1,0,1,100.0,1.0,1.0,89.99999999999967,0,0.23376623376623376,7
19,6,2,6,2.0,2,1,1,1,30,89.0,2.0,2.0,119.00000000000013,1,0.2987012987012987,7
20,6,2,2,1.0,0,1,1,0,4,100.0,0.0,1.0,89.99999999999967,1,0.2077922077922078,7
21,5,1,2,1.0,0,1,1,0,6,100.0,1.0,1.0,119.00000000000013,1,0.2207792207792208,5
22,6,2,3,1.0,0,1,1,0,3,100.0,1.0,1.0,349.99999999999983,1,0.16883116883116886,9
24,6,1,1,1.0,0,0,0,0,1,100.0,1.0,1.0,149.99999999999997,1,0.2077922077922078,6
25,5,1,4,1.0,2,1,1,1,31,93.0,1.0,2.0,128.99999999999997,1,0.5584415584415584,6
28,5,1,4,1.0,1,1,1,0,15,100.0,1.0,3.0,100.00000000000004,1,0.2597402597402597,7
29,6,2,2,1.0,2,1,1,0,2,100.0,0.0,1.0,122.00000000000004,1,0.2207792207792208,9
30,1,1,2,1.0,2,1,1,0,23,89.0,1.0,1.0,138.00000000000006,1,0.2727272727272727,9
31,6,1,2,1.0,2,1,1,1,28,99.0,1.0,1.0,55.00000000000002,0,0.2597402597402597,1
32,6,1,2,1.0,1,1,1,0,7,94.0,1.0,1.0,39.99999999999998,1,0.2597402597402597,9
34,6,1,2,1.0,0,0,1,0,144,96.0,1.0,2.0,55.00000000000002,0,0.1948051948051948,9
36,6,2,3,1.0,2,1,1,0,16,94.0,1.0,1.0,144.99999999999997,0,0.06493506493506493,6
37,6,2,2,1.0,2,1,1,0,38,88.0,1.0,1.0,135.00000000000003,1,0.1948051948051948,9
38,6,2,2,1.0,0,0,0,1,14,89.0,1.0,2.0,104.99999999999996,1,0.09090909090909093,9
39,6,1,1,1.0,2,1,0,0,7,93.0,1.0,1.0,88.99999999999999,1,0.18181818181818185,8
40,5,2,4,2.0,0,1,1,0,9,100.0,2.0,2.0,324.99999999999994,1,0.11688311688311688,6
41,6,1,4,1.0,2,0,1,0,105,89.0,1.0,2.0,74.99999999999997,1,0.23376623376623376,8
42,6,1,2,1.0,1,1,1,0,67,99.0,1.0,1.0,79.99999999999997,1,0.2597402597402597,8
43,5,2,3,1.0,1,1,0,0,10,98.0,2.0,2.0,159.0,1,0.2857142857142857,1
