,accommodates,bathrooms,cleaning_fee,host_identity_verified,instant_bookable,number_of_reviews,review_scores_rating,bedrooms,beds,host_response,amenities_ratio,property_type_Condominium,property_type_Guesthouse,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,room_type_Private room,room_type_Shared room,cancellation_policy_moderate,cancellation_policy_strict,regions_Brooklyn,regions_Chicago,regions_LA Mains,regions_New York Mains,regions_Other,regions_Queens,regions_San Francisco,regions_Santa Clarita,regions_Washington
0,8,3.5,1,1,0,5,96.0,4.0,4.0,1,0.2638888888888889,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,2,1.0,1,1,1,11,96.0,0.0,1.0,1,0.1388888888888889,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,11,1.0,1,1,1,29,85.0,4.0,4.0,1,0.2777777777777778,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,3,1.0,1,1,0,50,98.0,1.0,1.0,1,0.3055555555555556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,4,1.0,1,1,0,61,96.0,2.0,2.0,1,0.2916666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,2,1.0,1,1,0,1,100.0,1.0,1.0,1,0.3611111111111111,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
6,2,1.0,1,0,0,9,89.0,1.0,1.0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
7,2,1.0,1,0,1,4,100.0,1.0,1.0,1,0.19444444444444445,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
8,4,1.0,1,1,1,16,90.0,2.0,2.0,1,0.3472222222222222,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
9,2,1.5,1,1,0,19,98.0,1.0,1.0,1,0.3611111111111111,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
10,2,1.0,1,1,1,118,94.0,1.0,1.0,1,0.18055555555555555,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
11,4,1.0,1,0,0,2,90.0,2.0,2.0,1,0.2777777777777778,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,2,1.0,1,1,0,39,94.0,1.0,1.0,1,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
13,2,1.0,1,1,0,79,88.0,1.0,1.0,1,0.19444444444444445,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
14,6,1.0,1,1,1,13,100.0,3.0,3.0,1,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
15,6,1.0,1,1,1,92,88.0,2.0,3.0,1,0.4861111111111111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,2,1.0,1,1,1,44,97.0,0.0,2.0,1,0.3611111111111111,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
17,2,1.0,1,1,0,60,96.0,0.0,1.0,1,0.2916666666666667,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,15,2.0,1,1,1,13,95.0,3.0,11.0,1,0.3194444444444444,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
19,2,1.0,1,1,0,3,100.0,1.0,2.0,1,0.16666666666666666,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20,4,1.0,1,1,1,26,98.0,1.0,2.0,1,0.3888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,2,1.0,0,1,1,55,94.0,1.0,1.0,1,0.2222222222222222,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
22,2,1.0,0,0,0,4,95.0,1.0,1.0,0,0.2361111111111111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,2,1.0,0,0,0,2,90.0,0.0,2.0,1,0.2361111111111111,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
24,3,1.0,1,0,1,3,93.0,1.0,1.0,1,0.19444444444444445,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
25,3,1.0,1,1,1,3,100.0,1.0,1.0,0,0.3194444444444444,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
26,5,1.0,1,0,1,12,90.0,2.0,3.0,1,0.18055555555555555,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
27,2,1.0,1,1,0,36,98.0,1.0,1.0,1,0.2916666666666667,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
28,4,1.0,1,1,0,14,95.0,1.0,1.0,1,0.19444444444444445,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,3,1.0,1,0,1,37,94.0,1.0,2.0,1,0.4027777777777778,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
30,2,1.0,1,1,0,41,94.0,1.0,1.0,1,0.2916666666666667,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
31,2,1.5,0,1,1,2,100.0,1.0,1.0,1,0.19444444444444445,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
32,3,1.0,1,1,0,50,96.0,0.0,2.0,1,0.2916666666666667,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
33,2,1.0,1,1,0,6,100.0,1.0,1.0,1,0.3472222222222222,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
34,2,1.0,0,1,1,2,90.0,1.0,1.0,1,0.18055555555555555,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
35,2,1.0,1,1,0,6,100.0,0.0,1.0,0,0.125,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
36,2,1.0,1,1,0,49,98.0,1.0,1.0,1,0.375,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
37,3,4.0,1,1,1,26,85.0,1.0,2.0,1,0.2638888888888889,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
38,6,2.0,1,1,0,27,99.0,3.0,4.0,1,0.2916666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
39,4,1.0,1,1,0,37,92.0,1.0,2.0,0,0.20833333333333334,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
40,2,1.0,1,1,1,35,94.0,1.0,1.0,1,0.3194444444444444,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
41,2,1.0,1,1,0,3,87.0,1.0,1.0,1,0.125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
42,2,1.0,0,1,1,19,92.0,0.0,1.0,1,0.19444444444444445,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
43,2,1.0,0,0,1,24,100.0,1.0,1.0,1,0.2638888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
44,4,1.0,1,1,1,45,88.0,2.0,4.0,1,0.375,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
45,2,1.0,1,1,0,86,98.0,1.0,1.0,1,0.20833333333333334,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
46,2,1.0,1,1,0,5,100.0,1.0,1.0,1,0.3194444444444444,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
47,6,2.0,1,1,0,3,93.0,2.0,3.0,1,0.2777777777777778,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
48,2,1.0,1,1,0,22,90.0,1.0,1.0,1,0.25,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
49,1,3.0,1,1,0,120,95.0,1.0,1.0,1,0.3888888888888889,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
50,1,1.0,0,0,0,35,94.0,0.0,1.0,0,0.1388888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,3,1.0,1,1,0,39,99.0,1.0,1.0,1,0.3611111111111111,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
52,8,1.0,1,1,1,4,70.0,3.0,4.0,1,0.2222222222222222,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
53,4,1.0,1,1,0,16,98.0,0.0,1.0,1,0.19444444444444445,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,2,1.0,0,0,1,3,100.0,1.0,1.0,1,0.1527777777777778,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
55,4,1.0,1,1,0,19,83.0,2.0,2.0,1,0.19444444444444445,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
56,2,1.0,0,1,0,52,87.0,1.0,2.0,1,0.18055555555555555,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
57,2,2.0,0,1,0,6,100.0,1.0,1.0,0,0.3055555555555556,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
58,2,1.0,0,0,0,9,91.0,1.0,1.0,0,0.3055555555555556,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
59,3,1.0,1,0,1,5,100.0,1.0,2.0,1,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
60,4,1.0,1,1,0,10,98.0,1.0,2.0,1,0.4583333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
61,5,1.0,1,0,0,72,91.0,3.0,3.0,1,0.2638888888888889,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
62,1,1.0,0,1,0,55,96.0,1.0,1.0,1,0.2777777777777778,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
63,2,1.0,0,1,1,20,93.0,2.0,1.0,0,0.16666666666666666,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
64,6,1.0,1,0,0,1,100.0,2.0,3.0,0,0.2222222222222222,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
65,5,1.0,1,1,0,3,100.0,2.0,2.0,0,0.16666666666666666,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
66,2,1.0,1,0,0,43,97.0,1.0,1.0,0,0.19444444444444445,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
67,4,1.0,1,0,1,2,100.0,1.0,2.0,1,0.18055555555555555,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
68,4,1.0,1,1,1,97,96.0,1.0,2.0,1,0.3888888888888889,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
69,6,1.0,1,1,0,75,95.0,1.0,1.0,1,0.3611111111111111,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
70,2,1.0,0,1,0,45,85.0,1.0,1.0,1,0.1111111111111111,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
71,5,1.0,1,1,1,26,98.0,2.0,2.0,1,0.3888888888888889,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
72,3,1.0,1,1,0,3,100.0,0.0,2.0,1,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,4,2.5,1,1,1,15,100.0,3.0,3.0,1,0.3333333333333333,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
74,3,1.0,1,1,0,37,94.0,1.0,1.0,1,0.18055555555555555,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
75,1,1.0,1,1,1,2,80.0,1.0,1.0,1,0.19444444444444445,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
76,11,3.0,1,1,0,4,95.0,5.0,7.0,1,0.2222222222222222,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
77,3,1.0,0,1,1,68,93.0,1.0,1.0,1,0.19444444444444445,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
78,2,1.0,1,1,1,167,97.0,1.0,1.0,1,0.3194444444444444,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
79,2,1.0,1,1,1,61,84.0,1.0,1.0,0,0.18055555555555555,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
80,8,2.0,1,1,0,85,87.0,3.0,5.0,1,0.2777777777777778,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
81,2,1.0,1,0,0,16,99.0,1.0,1.0,1,0.1527777777777778,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82,2,1.5,1,0,0,5,100.0,1.0,1.0,1,0.3055555555555556,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
83,9,2.0,1,1,0,21,98.0,3.0,5.0,1,0.3194444444444444,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
